Model,TBS1102C
Firmware Version,v1.29.38

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4e-06,
Sample Interval,3.2e-08,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.199,0.125
Label,,
TIME,CH1,CH2
-2.880e-06,1.20479,0.000898443
-2.848e-06,1.20482,0.000253912
-2.816e-06,1.20442,0.000625006
-2.784e-06,1.20442,0.000898443
-2.752e-06,1.20442,0.00105469
-2.720e-06,1.20442,0.000566412
-2.688e-06,1.2046,0.000722662
-2.656e-06,1.20473,0.000488287
-2.624e-06,1.20491,0.000742193
-2.592e-06,1.2047,0.00052735
-2.560e-06,1.2051,0.00138672
-2.528e-06,1.20451,0.00105469
-2.496e-06,1.20467,5.96046e-09
-2.464e-06,1.20442,0.00105469
-2.432e-06,1.20491,0.00052735
-2.400e-06,1.20578,0.000722662
-2.368e-06,1.20532,0.0009961
-2.336e-06,1.2051,0.000234381
-2.304e-06,1.20482,0.000566412
-2.272e-06,1.20488,0.00121094
-2.240e-06,1.20463,0.000878912
-2.208e-06,1.20501,0.000332037
-2.176e-06,1.20575,0.00138672
-2.144e-06,1.20442,0.00083985
-2.112e-06,1.20442,0.0006836
-2.080e-06,1.20463,0.000761725
-2.048e-06,1.20519,0.000878912
-2.016e-06,1.20442,0.0009961
-1.984e-06,1.20442,0.000976568
-1.952e-06,1.20442,0.00103516
-1.920e-06,1.20482,0.000292975
-1.888e-06,1.20491,0.000859381
-1.856e-06,1.20547,0.000937506
-1.824e-06,1.20491,0.00083985
-1.792e-06,1.20491,0.00179688
-1.760e-06,1.20488,0.00107422
-1.728e-06,1.20485,0.000761725
-1.696e-06,1.20516,0.00109376
-1.664e-06,1.20479,0.00109376
-1.632e-06,1.2046,0.000625006
-1.600e-06,1.20442,0.000449225
-1.568e-06,1.20442,0.000703131
-1.536e-06,1.20522,-1.95253e-05
-1.504e-06,1.20522,0.000742193
-1.472e-06,1.2051,0.0016211
-1.440e-06,1.2056,0.0003711
-1.408e-06,1.20442,0.000488287
-1.376e-06,1.20522,0.000449225
-1.344e-06,1.20491,0.000703131
-1.312e-06,1.20494,0.000292975
-1.280e-06,1.20491,0.000468756
-1.248e-06,1.20479,0.000742193
-1.216e-06,1.20519,0.000800787
-1.184e-06,1.20541,0.00105469
-1.152e-06,1.20448,0.000937506
-1.120e-06,1.20463,0.000722662
-1.088e-06,1.2056,0.00158204
-1.056e-06,1.20498,0.00138672
-1.024e-06,1.20442,0.00123047
-9.920e-07,1.2051,0.000761725
-9.600e-07,1.20442,0.00150391
-9.280e-07,1.20445,0.000800787
-8.960e-07,1.20544,0.000859381
-8.640e-07,1.20442,0.00101563
-8.320e-07,1.20491,0.000859381
-8.000e-07,1.20445,0.00052735
-7.680e-07,1.20442,0.000957037
-7.360e-07,1.20451,0.000546881
-7.040e-07,1.20467,0.000605475
-6.720e-07,1.20491,0.00146485
-6.400e-07,1.2055,0.000976568
-6.080e-07,1.20485,0.00115235
-5.760e-07,1.2051,0.000781256
-5.440e-07,1.20442,0.000292975
-5.120e-07,1.20442,0.00115235
-4.800e-07,1.20467,0.000878912
-4.480e-07,1.20504,0.00103516
-4.160e-07,1.20516,0.000468756
-3.840e-07,1.20557,0.000761725
-3.520e-07,1.20442,0.000468756
-3.200e-07,1.20454,0.000507818
